ID,SITENAME,MG,PH,K,NITRATE,SULPHATE,EC,CA,NA,CARBONATE,BICARBONATE,CHLORIDE,FLUORIDE,SAR,RSC,YEAR
1.0,Vengalapuram,268.0,7.3,10.0,276.0,304.0,5730.0,16.0,850.0,.0,878.0,1304.0,1.6,10.9,-8.5,2008.0
2.0,Kavalur,94.9,7.2,3.0,2.0,12.0,1069.0,24.0,77.0,.0,421.0,163.0,1.3,1.6,-2.1,2008.0
3.0,Alangayam,226.1,7.5,.0,16.0,150.0,2830.0,20.0,300.0,.0,549.0,631.0,1.0,4.2,-10.6,2008.0
4.0,Vaniyambadi1,211.6,7.3,5.0,140.0,264.0,3600.0,20.0,500.0,.0,726.0,680.0,1.7,7.2,-6.5,2008.0
5.0,Sangilikuppam,238.3,7.2,2.0,174.0,240.0,2300.0,24.0,152.0,.0,537.0,305.0,1.2,2.1,-12.0,2008.0
6.0,Thottalam,350.1,7.2,2.0,350.0,352.0,4120.0,28.0,360.0,.0,714.0,709.0,1.0,4.0,-18.5,2008.0
7.0,Anaikkattu,37.7,7.1,3.0,12.0,34.0,585.0,26.0,52.0,.0,207.0,64.0,1.0,1.5,-1.0,2008.0
8.0,Arcot2,53.5,7.4,.0,86.0,140.0,2170.0,36.0,350.0,.0,482.0,354.0,1.4,8.7,1.7,2008.0
9.0,Vellore1,59.7,8.1,15.0,24.0,3.0,2700.0,114.0,415.0,.0,763.0,574.0,.8,7.8,1.9,2008.0
10.0,Vellore1,82.7,7.4,4.0,59.0,152.0,1325.0,20.0,164.0,.0,390.0,127.0,1.5,3.6,-1.4,2008.0
11.0,Ranipet1,306.4,7.2,50.0,57.0,490.0,7420.0,48.0,1100.0,.0,415.0,2183.0,1.6,12.9,-20.8,2008.0
12.0,Banavaram,73.0,7.1,3.0,16.0,60.0,997.0,40.0,80.0,.0,213.0,191.0,1.1,1.7,-4.5,2008.0
13.0,Sholingar1,40.2,6.8,2.0,13.0,28.0,562.0,34.0,25.0,.0,116.0,99.0,.5,.7,-3.1,2008.0
14.0,Perambattu,54.3,7.6,12.0,18.0,68.0,817.0,90.0,24.0,.0,298.0,96.0,.0,.5,-4.1,2006.0
15.0,Perambattu,105.0,7.7,25.0,5.0,130.0,2150.0,38.0,300.0,.0,647.0,340.0,3.2,5.7,.1,2006.0
16.0,Alankuppam,241.7,7.3,2.0,24.0,162.0,7440.0,307.0,800.0,.0,739.0,1761.0,.0,8.3,-23.1,2006.0
17.0,Alankuppam,153.4,7.5,120.0,30.0,200.0,3700.0,144.0,370.0,.0,525.0,759.0,1.7,5.1,-11.2,2006.0
18.0,Vengalapuram,238.4,7.6,100.0,25.0,369.0,7040.0,72.0,1150.0,.0,970.0,1660.0,1.7,14.7,-7.3,2006.0
19.0,Vokkanampet,170.5,7.3,25.0,20.0,160.0,4700.0,280.0,510.0,.0,702.0,1319.0,1.3,5.9,-16.5,2006.0
20.0,Kodiyur,75.5,7.6,150.0,5.0,50.0,1735.0,86.0,125.0,.0,409.0,238.0,1.1,2.4,-3.8,2006.0
21.0,Kavalur,73.3,7.3,2.0,4.0,48.0,827.0,58.0,28.0,.0,310.0,114.0,.3,.6,-3.8,2006.0
22.0,Kavalur,40.2,7.8,15.0,2.0,30.0,1235.0,64.0,138.0,.0,378.0,191.0,1.5,3.3,-.3,2006.0
23.0,Natrampalli,94.9,7.6,25.0,.0,200.0,2780.0,62.0,375.0,.0,508.0,532.0,2.3,7.0,-2.6,2006.0
24.0,Alangayam,88.0,7.4,2.0,.0,66.0,2170.0,194.0,151.0,.0,554.0,341.0,.3,2.3,-7.8,2006.0
25.0,Alangayam,79.2,7.4,180.0,5.0,130.0,2560.0,122.0,295.0,.0,488.0,415.0,1.4,5.1,-4.6,2006.0
